,Rent type,Post date,Area,Price,Bedrooms,Toilets,Furniture,Floors,District
0,Căn hộ chung cư,2023-12-07,50.0,17000000.0,1.0,1.0,không,,2
1,Căn hộ chung cư,2023-12-05,50.0,17000000.0,1.0,1.0,không,,2
2,Căn hộ chung cư,2023-12-02,77.0,23000000.0,2.0,2.0,không,,2
3,Căn hộ chung cư,2023-12-02,50.0,17000000.0,1.0,1.0,không,,2
4,Căn hộ chung cư,2023-12-05,52.0,16900000.0,1.0,1.0,cơ bản,,2
5,Căn hộ chung cư,2023-12-05,60.0,16000000.0,1.0,1.0,cơ bản,,1
6,Căn hộ chung cư,2023-12-07,86.0,17000000.0,2.0,2.0,đầy đủ,,bình thạnh
7,Căn hộ chung cư,2023-12-01,99.0,,2.0,3.0,đầy đủ,,7
8,Căn hộ chung cư,2023-12-07,70.0,15000000.0,2.0,2.0,không,,2
9,Căn hộ chung cư,2023-12-07,76.0,15000000.0,2.0,2.0,đầy đủ,,7
10,Căn hộ chung cư,2023-12-07,87.5,24000000.0,2.0,2.0,không,,bình thạnh
11,Nhà mặt phố,2023-12-06,105.0,40000000.0,5.0,4.0,cơ bản,,gò vấp
12,Căn hộ chung cư,2023-12-06,85.0,18000000.0,2.0,2.0,không,,1
13,Căn hộ chung cư,2023-12-04,73.0,,2.0,,không,,2
14,Shophouse nhà phố thương mại,2023-12-06,75.0,,,,không,,gò vấp
15,Văn phòng,2023-12-05,296.0,85248000.0,,12.0,không,7.0,tân bình
16,Căn hộ chung cư,2023-12-05,48.0,5000000.0,1.0,1.0,đầy đủ,,9
17,Căn hộ chung cư,2023-12-05,66.0,8000000.0,2.0,2.0,không,,7
18,Văn phòng,2023-12-05,287.0,95858000.0,,,không,,tân bình
19,Shophouse nhà phố thương mại,2023-12-05,100.0,30000000.0,4.0,4.0,không,4.0,2
20,Căn hộ chung cư,2023-12-05,53.0,7000000.0,1.0,1.0,không,,7
21,Văn phòng,2023-12-04,312.0,119808000.0,,96.0,cơ bản,12.0,gò vấp
22,Căn hộ chung cư,2023-12-04,92.0,18000000.0,2.0,2.0,đầy đủ,,bình thạnh
23,Văn phòng,2023-12-04,443.0,138216000.0,,,không,,tân bình
24,"Nhà trọ, phòng trọ",2023-12-02,20.0,1500000.0,,,không,,9
25,Căn hộ chung cư,2023-12-02,72.0,12000000.0,2.0,2.0,cơ bản,,7
26,Căn hộ chung cư,2023-12-02,80.0,20000000.0,2.0,2.0,đầy đủ,,bình thạnh
27,Căn hộ chung cư,2023-12-02,98.0,12000000.0,3.0,2.0,không,,bình chánh
28,Căn hộ chung cư,2023-12-02,53.0,7000000.0,1.0,1.0,có,,7
29,Nhà mặt phố,2023-12-01,162.0,200000000.0,32.0,32.0,đầy đủ,7.0,tân bình
30,Căn hộ chung cư,2023-12-01,50.0,16000000.0,1.0,1.0,không,,1
31,Căn hộ chung cư,2023-12-08,53.0,7000000.0,2.0,1.0,cơ bản,,7
32,Văn phòng,2023-11-27,350.0,152250000.0,,,không,,2
33,Văn phòng,2023-11-24,50.0,12500000.0,,,đầy đủ,,1
34,Căn hộ chung cư,2023-12-08,140.0,32000000.0,3.0,2.0,đầy đủ,,2
35,Căn hộ chung cư,2023-11-30,288.0,170000000.0,4.0,3.0,không,,2
36,Căn hộ chung cư,2023-12-02,70.0,10000000.0,2.0,2.0,đầy đủ,,tân phú
37,Căn hộ chung cư,2023-12-03,44.0,8500000.0,1.0,1.0,không,,2
38,Căn hộ chung cư,2023-12-04,55.0,10000000.0,2.0,2.0,không,,2
39,Căn hộ chung cư,2023-12-05,72.0,,2.0,2.0,không,,2
40,Căn hộ chung cư,2023-12-07,51.0,11000000.0,1.0,1.0,đầy đủ,,2
41,Căn hộ chung cư,2023-12-07,75.0,14000000.0,2.0,2.0,đầy đủ,,phú nhuận
42,Căn hộ chung cư,2023-12-07,78.0,18000000.0,2.0,2.0,không,,2
43,Căn hộ chung cư,2023-12-07,70.0,8500000.0,2.0,2.0,đầy đủ,,7
44,Căn hộ chung cư,2023-12-06,64.0,18000000.0,1.0,1.0,đầy đủ,,2
45,Căn hộ chung cư,2023-12-05,75.0,20000000.0,2.0,2.0,không,,2
46,Căn hộ chung cư,2023-12-05,68.5,11000000.0,2.0,2.0,không,,2
47,Căn hộ chung cư,2023-12-07,53.0,9000000.0,1.0,1.0,cơ bản,,2
48,Nhà riêng,2023-12-07,100.0,20000000.0,,,không,,1
49,Căn hộ chung cư,2023-12-07,30.0,11000000.0,1.0,1.0,cơ bản,,4
50,Căn hộ chung cư,2023-12-07,49.0,10000000.0,1.0,,đầy đủ,,2
51,Căn hộ chung cư,2023-12-06,72.0,15000000.0,2.0,2.0,đầy đủ,,2
52,Căn hộ chung cư,2023-12-07,92.0,42300000.0,2.0,2.0,đầy đủ,,2
53,Căn hộ chung cư,2023-12-07,88.0,13000000.0,3.0,2.0,đầy đủ,,2
54,Căn hộ chung cư,2023-12-07,88.0,13000000.0,3.0,2.0,không,,2
55,Căn hộ chung cư,2023-12-07,32.0,8199999.999999999,1.0,1.0,đầy đủ,,tân bình
56,Căn hộ chung cư,2023-12-04,66.0,8000000.0,2.0,2.0,không,,7
57,Căn hộ chung cư,2023-12-04,66.0,7000000.0,2.0,2.0,không,,7
58,Căn hộ chung cư,2023-12-08,68.0,7800000.0,2.0,2.0,có,,7
59,Căn hộ chung cư,2023-12-07,76.0,15000000.0,2.0,2.0,không,,7
60,Căn hộ chung cư,2023-12-02,67.0,8000000.0,2.0,2.0,không,,7
61,Căn hộ chung cư,2023-12-07,30.0,6000000.0,,,cơ bản,,tân bình
62,Căn hộ chung cư,2023-12-05,96.0,32000000.0,3.0,3.0,đầy đủ,,4
63,Căn hộ chung cư,2023-12-06,75.0,8000000.0,2.0,2.0,cơ bản,,bình tân
64,Nhà mặt phố,2023-12-06,76.5,13000000.0,4.0,4.0,không,3.0,thủ đức
65,"Nhà trọ, phòng trọ",2023-12-06,35.0,4000000.0,,,không,,1
66,Nhà riêng,2023-12-06,60.0,28000000.0,2.0,2.0,cơ bản,1.0,4
67,"Nhà trọ, phòng trọ",2023-12-06,20.0,3000000.0,,1.0,không,,tân bình
68,"Kho, nhà xưởng, đất",2023-12-06,2000.0,170000000.0,,,không,,bình chánh
69,Nhà mặt phố,2023-12-06,1000.0,420000000.0,,,đầy đủ,,1
70,Căn hộ chung cư,2023-12-06,75.0,16000000.0,2.0,2.0,đầy đủ,,2
71,Căn hộ chung cư,2023-12-05,44.0,9000000.0,1.0,1.0,không,,2
72,Căn hộ chung cư,2023-12-05,107.0,22000000.0,2.0,2.0,có,,10
73,Căn hộ chung cư,2023-12-06,86.0,19000000.0,2.0,2.0,đầy đủ,,10
74,Căn hộ chung cư,2023-12-04,56.0,16000000.0,1.0,,đầy đủ,,10
75,Căn hộ chung cư,2023-12-02,88.0,20000000.0,2.0,2.0,đầy đủ,,bình thạnh
76,Căn hộ chung cư,2023-12-06,60.0,22000000.0,1.0,1.0,đầy đủ,,2
77,Căn hộ chung cư,2023-12-06,71.0,10000000.0,2.0,2.0,không,,tân phú
78,"Nhà trọ, phòng trọ",2023-12-06,30.0,4000000.0,,,đầy đủ,,7
